postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
CF46 6,7924,7924,Merthyr Tydfil,Caerphilly,,Mid Glamorgan,Gwent,
CF47 0,7531,7509,Merthyr Tydfil,,,Mid Glamorgan,,
CF47 7,,,Merthyr Tydfil,,,Mid Glamorgan,,
CF47 8,3703,3703,Merthyr Tydfil,,,Mid Glamorgan,,
CF47 9,10740,10740,Merthyr Tydfil,,,Mid Glamorgan,,
CF48 1,8659,8659,Merthyr Tydfil,,,Mid Glamorgan,,
CF48 2,6236,6236,Merthyr Tydfil,Rhondda Cynon Taf,Powys,Mid Glamorgan,Powys,
CF48 3,4291,4291,Merthyr Tydfil,,,Mid Glamorgan,,
CF48 4,7991,7812,Merthyr Tydfil,Caerphilly,,Mid Glamorgan,Gwent,
CF5 1,11599,11599,Cardiff,,,South Glamorgan,,
CF5 2,9802,9802,Cardiff,,,South Glamorgan,,
CF5 3,11863,11863,Cardiff,,,South Glamorgan,,
CF5 4,16074,16074,Cardiff,,,South Glamorgan,,
CF5 5,11825,11804,Cardiff,Vale of Glamorgan,,South Glamorgan,,
CF5 6,4858,4858,Cardiff,Vale of Glamorgan,,South Glamorgan,,
CF5 9,,,Cardiff,,,South Glamorgan,,
CF61 1,5017,5016,Vale of Glamorgan,,,South Glamorgan,,
CF61 2,4755,4755,Vale of Glamorgan,,,South Glamorgan,,
CF62 3,6790,6790,Vale of Glamorgan,,,South Glamorgan,,
CF62 4,5287,5287,Vale of Glamorgan,,,South Glamorgan,,
CF62 5,2862,2862,Vale of Glamorgan,,,South Glamorgan,,
CF62 6,5852,5852,Vale of Glamorgan,,,South Glamorgan,,
CF62 7,6710,6710,Vale of Glamorgan,,,South Glamorgan,,
CF62 8,7387,7387,Vale of Glamorgan,,,South Glamorgan,,
CF62 9,6831,6831,Vale of Glamorgan,,,South Glamorgan,,
CF63 1,8913,8913,Vale of Glamorgan,,,South Glamorgan,,
CF63 2,5504,5504,Vale of Glamorgan,,,South Glamorgan,,
CF63 3,1490,1490,Vale of Glamorgan,,,South Glamorgan,,
CF63 4,5827,5826,Vale of Glamorgan,,,South Glamorgan,,
CF63 9,,,Vale of Glamorgan,,,South Glamorgan,,
CF64 1,5646,5645,Vale of Glamorgan,,,South Glamorgan,,
CF64 2,8558,8558,Vale of Glamorgan,,,South Glamorgan,,
CF64 3,8455,8455,Vale of Glamorgan,,,South Glamorgan,,
CF64 4,7591,7591,Vale of Glamorgan,,,South Glamorgan,,
CF64 5,6098,6098,Vale of Glamorgan,,,South Glamorgan,,
CF64 9,,,Vale of Glamorgan,,,South Glamorgan,,
CF71 7,8906,8906,Vale of Glamorgan,,,South Glamorgan,,
CF71 9,,,Vale of Glamorgan,,,South Glamorgan,,
CF72 0,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF72 4,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF72 8,11187,11187,Rhondda Cynon Taf,Cardiff,Vale of Glamorgan,Mid Glamorgan,South Glamorgan,
CF72 9,14923,14923,Rhondda Cynon Taf,Vale of Glamorgan,Bridgend,Mid Glamorgan,South Glamorgan,
CF81 8,8182,8182,Caerphilly,,,Gwent,,
CF81 9,8147,8147,Caerphilly,,,Gwent,,
CF82 6,772,772,Caerphilly,,,Gwent,,
CF82 7,12978,12978,Caerphilly,,,Gwent,,
CF82 8,6412,6412,Caerphilly,,,Gwent,,
CF82 9,,,Caerphilly,,,Gwent,,
CF83 1,12625,12624,Caerphilly,Cardiff,Rhondda Cynon Taf,Gwent,Mid Glamorgan,South Glamorgan
CF83 2,12488,12488,Caerphilly,,,Gwent,,
CF83 3,12451,12451,Caerphilly,,,Gwent,,
CF83 4,6795,6795,Caerphilly,,,Gwent,,
CF83 8,10945,10945,Caerphilly,,,Gwent,,
CF83 9,,,Caerphilly,,,Gwent,,
CF91 1,,,Cardiff,,,South Glamorgan,,
CF91 5,,,Cardiff,,,South Glamorgan,,
CF95 1,,,Cardiff,,,South Glamorgan,,
CF99 1,,,Cardiff,,,South Glamorgan,,
CH1 4,6949,,Flintshire,,,Clwyd,,
CH1 6,4891,340,Flintshire,,,Clwyd,,
CH4 0,10544,10544,Flintshire,,,Clwyd,,
CH4 8,11305,3874,Flintshire,,,Clwyd,,
CH4 9,3501,1698,Flintshire,,,Clwyd,,
CH5 1,8432,8432,Flintshire,,,Clwyd,,
CH5 2,7249,7249,Flintshire,,,Clwyd,,
CH5 3,10083,10076,Flintshire,,,Clwyd,,
CH5 4,16675,16675,Flintshire,,,Clwyd,,
CH5 9,,,Flintshire,,,Clwyd,,
CH6 5,13187,12803,Flintshire,,,Clwyd,,
CH6 6,3883,3883,Flintshire,,,Clwyd,,
CH6 9,,,Flintshire,,,Clwyd,,
CH7 1,9840,9834,Flintshire,,,Clwyd,,
CH7 2,9208,9208,Flintshire,,,Clwyd,,
CH7 3,6388,6388,Flintshire,,,Clwyd,,
CH7 4,6342,6337,Flintshire,Denbighshire,,Clwyd,,
CH7 5,6910,6910,Flintshire,Denbighshire,,Clwyd,,
CH7 6,11576,11576,Flintshire,,,Clwyd,,
CH7 9,,,Flintshire,,,Clwyd,,
CH8 7,9053,9053,Flintshire,,,Clwyd,,
CH8 8,6023,6023,Flintshire,Denbighshire,,Clwyd,,
CH8 9,5417,5417,Flintshire,,,Clwyd,,
GL16 8,6184,11,Monmouthshire,,,Gwent,,
HR3 5,4374,3494,Powys,,,Powys,,
HR3 6,3141,163,Powys,,,Powys,,
HR5 3,4823,440,Powys,,,Powys,,
LD1 5,5832,5832,Powys,,,Powys,,
