geography,population,density
BN26 6,5130,1.5
BN27 1,6219,3.9
BN27 2,5172,5.9
BN27 3,10992,6.4
BN27 4,4459,0.9
BN3  1,10441,168.7
BN3  2,6869,118.8
BN3  3,12625,135.5
BN3  4,7776,64.4
BN3  5,11938,97.3
BN3  6,11499,38.5
BN3  7,10367,42.1
BN3  8,7998,13.8
BN41 1,6557,43.5
BN41 2,14358,20.7
BN42 4,9991,14.2
BN43 5,11302,16.8
BN43 6,11190,36.1
BN44 3,10125,2.1
BN45 7,669,0.3
BN5  9,7106,1.5
BN6  8,8684,3.1
BN6  9,8716,2.5
BN7  1,8670,19.8
BN7  2,8333,12.6
BN7  3,4187,0.7
BN8  4,5969,1.6
BN8  5,6121,1.4
BN8  6,4220,0.4
BN9  0,3931,3.8
BN9  9,9546,10.4
BR1  1,475,27.9
BR1  2,11771,30.6
BR1  3,12689,49.4
BR1  4,14203,51
BR1  5,17193,45.8
BR2  0,11719,48.3
BR2  6,2332,2.7
BR2  7,9093,10.6
BR2  8,10727,23.7
BR2  9,10969,40.9
BR3  1,8987,27.1
BR3  3,13060,27.7
BR3  4,12874,60.8
BR3  5,6772,51.3
BR3  6,5631,35
BR4  0,9058,33.9
BR4  9,9928,31.8
BR5  1,11828,31
BR5  2,12838,43.7
BR5  3,10607,21.4
BR5  4,10439,11.1
BR6  0,9444,39
BR6  6,6647,19.9
BR6  7,7890,3.4
BR6  8,8225,22.8
BR6  9,14622,33.3
BR7  5,6610,13.9
BR7  6,10690,16.9
BR8  7,14884,22.2
BR8  8,7088,7.5
BS1  1,1210,34.3
BS1  2,542,92.2
BS1  3,2366,101.9
BS1  4,529,44.6
BS1  5,3157,63.4
BS1  6,4187,24.7
BS10 5,9500,54.9
BS10 6,10223,35.9
BS10 7,7882,9.8
BS11 0,9574,8.4
BS11 9,7780,11.1
BS13 0,7542,32.5
BS13 7,8316,26
BS13 8,7339,46
BS13 9,6388,44
BS14 0,8866,15.1
BS14 8,7765,33.9
BS14 9,11524,45.3
BS15 1,11936,64.7
BS15 3,8812,27.8
BS15 4,11104,45.1
BS15 8,7373,50.6
BS15 9,8102,44.2
BS16 1,12172,9.4
BS16 2,9075,37
BS16 3,6854,55.2
BS16 4,9181,62.7
BS16 5,9998,56.2
BS16 6,10598,40.8
BS16 7,7880,27.4
BS16 9,10150,8.9
BS2  0,2919,34.4
BS2  8,5953,97.4
BS2  9,6727,68.2
BS20 0,4828,6.2
BS20 6,7966,19.5
BS20 7,11362,6
BS20 8,5847,9.6
BS21 5,4861,21.8
BS21 6,8926,3.1
BS21 7,9496,11.7
BS22 6,7979,46.4
BS22 7,10339,12.2
BS22 8,10599,42.5
BS22 9,8525,7.3
BS23 1,4940,49.8
BS23 2,9195,28.4
BS23 3,12214,41.6
BS23 4,7647,20.6
BS24 0,2039,1
BS24 6,359,0.5
BS24 7,8306,17.1
BS24 8,2166,3.8
BS24 9,5971,12.1
BS25 1,4616,2.7
BS25 5,1616,1.4
BS26 2,5127,1
BS27 3,7081,1.5
BS28 4,3318,0.8
BS29 6,2919,1.7
BS3  1,8891,99.5
BS3  2,6065,21.8
BS3  3,6157,109.5
BS3  4,7639,59.2
BS3  5,8009,51.5
BS30 5,5040,2.2
BS30 6,3509,3
BS30 7,3666,40
BS30 8,10295,24.3
BS30 9,7850,20.4
BS31 1,7446,16
BS31 2,8481,5.9
BS31 3,4073,7.3
BS32 0,7373,42.5
BS32 4,4380,1.4
BS32 8,8354,60.5
BS32 9,4651,41.5
BS34 5,8122,22.7
BS34 6,6295,40.2
BS34 7,7057,22
BS34 8,8316,20.4
BS35 1,6608,1.7
BS35 2,6436,19.4
BS35 3,3058,2.4
BS35 4,4888,2.1
BS35 5,650,0.9
BS36 1,6242,15.2
BS36 2,9201,4.9
BS37 4,8102,35.6
BS37 5,7723,30.6
BS37 6,8025,1.6
BS37 7,6952,5
BS37 8,6452,11.9
BS37 9,807,0.8
BS39 4,2593,0.7
BS39 5,4563,1.8
BS39 6,3005,3.6
BS39 7,5302,8.1
BS4  1,12962,49
BS4  2,9948,60
BS4  3,8856,54.2
BS4  4,12382,29.5
BS4  5,3811,19.5
BS40 5,4496,1.6
BS40 6,2249,0.4
BS40 7,1571,1
BS40 8,3833,0.9
BS40 9,637,4.1
BS41 8,829,0.8
BS41 9,5254,7.3
BS48 1,5537,2.3
BS48 2,6848,31.8
BS48 3,5537,2
BS48 4,5486,6.2
BS49 4,8454,4.4
BS49 5,3497,2.3
BS5  0,8743,77.3
BS5  6,13181,58.9
BS5  7,10919,51
BS5  8,9587,46.1
BS5  9,9913,56.3
BS6  5,10728,113.5
BS6  6,12944,105
BS6  7,10009,61.7
BS7  0,15411,53.8
BS7  8,10257,73.8
BS7  9,15265,38
BS8  1,4869,81.5
BS8  2,7248,102.8
BS8  3,5193,4.3
BS8  4,8792,76.3
BS9  1,8381,20
BS9  2,6600,21.1
BS9  3,8540,29.1
BS9  4,7432,48.5
CA1  1,2218,23.2
CA1  2,11104,27.3
CA1  3,10938,25.7
CA10 1,5757,0.2
CA10 2,3286,0.1
CA10 3,4580,0.2
CA11 0,4416,0.2
CA11 7,3561,40.8
CA11 8,7907,2
CA11 9,6475,0.6
CA12 4,4758,0.3
CA12 5,3268,0.3
CA13 0,8597,0.6
CA13 9,6409,0.6
CA14 1,8434,3
CA14 2,5050,29.2
CA14 3,8500,36.3
CA14 4,6518,0.9
CA14 5,7297,8.5
CA15 6,4469,1.1
CA15 7,6771,4.1
CA15 8,4978,5
CA16 6,6175,0.2
CA17 4,4873,0.2
CA18 1,328,0.1
CA19 1,1069,0.1
CA2  4,10325,8.8
CA2  5,7578,25.3
CA2  6,9233,11.8
CA2  7,12299,39.9
CA20 1,3355,0.3
CA21 2,1017,0.9
CA22 2,8887,2.3
CA23 3,1424,0.1
CA24 3,1266,3.3
CA25 5,6183,5.5
CA26 3,3868,1.3
CA27 0,1644,2.2
